bid,footprint_area,PV_cap_kW,use,free_walls,floors,dwellings,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,lat,lon,C,Tau,Tset,U,V,act_end,act_start,area_corr_factor,dist_to_heat_source,dwelling_size,heated_area,hw_demand_day,hw_tank_cap,size_class,storey_area,window_area,year_class
1,300.951512918797,30.00,Residential,2,1,1,3.000000000000000,,,,,11.579702199208944,48.16097673711013,,,,,,,,,,,,,,,,,
2,362.629931088285,30.00,Residential,2,1,1,3.000000000000000,,,,,11.57784504086196,48.161444530807785,,,,,,,,,,,,,,,,,
3,308.209556823479,30.00,Residential,3,1,1,3.000000000000000,,,,,11.578132051280976,48.16141016213547,,,,,,,,,,,,,,,,,
4,249.587431235948,30.00,Residential,2,1,1,3.000000000000000,,,,,11.579907765623009,48.1609549662342,,,,,,,,,,,,,,,,,
5,404.568965216689,480.00,Residential,3,2,16,36.000000000000000,,,,,11.578755003841717,48.16140681879538,,,,,,,,,,,,,,,,,
6,427.282520681985,480.00,Residential,3,2,16,36.000000000000000,,,,,11.578500400549531,48.16141215383825,,,,,,,,,,,,,,,,,
7,372.886963330814,420.00,Residential,2,2,14,25.000000000000000,,,,,11.577327608143383,48.161464520164984,,,,,,,,,,,,,,,,,
8,234.042115927516,120.00,Residential,3,1,4,23.000000000000000,,,,,11.579492532227832,48.16099124360019,,,,,,,,,,,,,,,,,
9,292.966867327095,450.00,Residential,2,3,15,36.000000000000000,,,,,11.577825389815757,48.161124082771636,,,,,,,,,,,,,,,,,
10,241.761093380591,360.00,Residential,3,3,12,36.000000000000000,,,,,11.578090420529291,48.16109792840429,,,,,,,,,,,,,,,,,
11,315.348781632929,360.00,Residential,3,2,12,36.000000000000000,,,,,11.578633236890735,48.16104494375075,,,,,,,,,,,,,,,,,
12,371.115841428894,420.00,Residential,3,2,14,36.000000000000000,,,,,11.578376316506251,48.161011945468196,,,,,,,,,,,,,,,,,
13,396.219125571388,210.00,Residential,3,1,7,23.000000000000000,,,,,11.57907893889073,48.16138018918141,,,,,,,,,,,,,,,,,
14,386.46182621375,210.00,Residential,2,1,7,23.000000000000000,,,,,11.578947036928401,48.16097762677961,,,,,,,,,,,,,,,,,
15,376.299744386517,210.00,Residential,3,1,7,23.000000000000000,,,,,11.579187643963303,48.160981072004546,,,,,,,,,,,,,,,,,
16,308.991469326307,180.00,Residential,3,1,6,14.000000000000000,,,,,11.579534285186107,48.160643481664536,,,,,,,,,,,,,,,,,
17,191.556584203057,90.00,Residential,2,1,3,14.000000000000000,,,,,11.578903911286314,48.16076782100305,,,,,,,,,,,,,,,,,
18,165.525807027336,90.00,Residential,3,1,3,13.000000000000000,,,,,11.5780786952999,48.16088604277888,,,,,,,,,,,,,,,,,
19,597.91012655589,330.00,Residential,0,1,11,13.000000000000000,,,,,11.578693635757478,48.16069121329803,,,,,,,,,,,,,,,,,
20,581.045908187029,330.00,Residential,0,1,11,13.000000000000000,,,,,11.578256004829754,48.16073281085398,,,,,,,,,,,,,,,,,
